timeStampS;timeStampNs;heading;pitch;roll;waveHeight;waveDirection;wavePeriod;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;latitude;longitude;heading_gnss;vertical_speed_gnss;horizontal_speed_gnss;altitude;east_speed;north_speed;vertical_speed;heave;heave_velocity;hs;wave_height;wave_period;wave_period_at_hmax;wave_direction;wave_energy;fourier_coeff;sync_byte;frequency_00;wave_spectrum_00;frequency_01;wave_spectrum_01;frequency_02;wave_spectrum_02;frequency_03;wave_spectrum_03;frequency_04;wave_spectrum_04;frequency_05;wave_spectrum_05;frequency_06;wave_spectrum_06;frequency_07;wave_spectrum_07;latitude_gnss;longitude_gnss;altitude_gnss;horizontal_speed_gnss_1;track_over_ground_gnss;vertical_speed_gnss_2;ms_gps;gps_week;gnss_info1;gnss_info2;usw;vinp;temper
1748649593;229231878;132.4600067138672;35.70000076293945;175.13999938964844;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;9.220000267028809;1.4800000190734863;-3.7799999713897705;-5.825232982635498;-35.22581100463867;166.02000427246094;0.0;0.009999999776482582;35.44200134277344;-0.38999998569488525;-0.7799999713897705;-31.68000030517578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.525001525878906;0.009999999776482582;347.4700012207031;0.0;518411280;2368;50;28;0;0;0
1748649593;268225783;132.25;35.43000030517578;174.86000061035156;0.0;0.0;0.0;0.01850000023841858;-0.029750000685453415;0.996749997138977;6.820000171661377;-5.659999847412109;-4.619999885559082;-5.825232982635498;-35.22581100463867;166.02000427246094;0.0;0.0;34.67900085449219;-0.4399999976158142;-0.9800000190734863;-32.38999938964844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.51100158691406;0.0;56.88999938964844;0.0;518411320;2368;50;28;0;0;0
1748649593;308453032;132.1699981689453;35.209999084472656;174.75;0.0;0.0;0.0;0.01875000074505806;-0.029500000178813934;0.996749997138977;3.0;-1.0800000429153442;-4.300000190734863;-5.825233459472656;-35.22581100463867;166.02000427246094;0.0;0.009999999776482582;33.902000427246094;-0.5;-1.1799999475479126;-33.099998474121094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.49399948120117;0.009999999776482582;212.19000244140625;0.0;518411360;2368;50;28;0;0;0
1748649593;348580408;131.9499969482422;34.95000076293945;174.6300048828125;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;5.21999979019165;-2.0399999618530273;-6.78000020980835;-5.825233459472656;-35.22581100463867;166.02000427246094;0.0;0.009999999776482582;33.106998443603516;-0.5600000023841858;-1.3899999856948853;-33.81999969482422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.5;0.009999999776482582;212.19000244140625;0.0;518411400;2368;50;28;0;0;0
1748649593;388707284;131.8300018310547;34.619998931884766;174.66000366210938;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;9.079999923706055;1.7200000286102295;-3.5399999618530273;-5.825234413146973;-35.22581100463867;166.02000427246094;0.0;0.009999999776482582;31.739999771118164;-0.4099999964237213;-1.590000033378601;-34.540000915527344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.5;0.009999999776482582;106.6500015258789;0.0;518411440;2368;50;28;0;0;0
1748649593;428813911;131.8000030517578;34.38999938964844;174.69000244140625;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;5.119999885559082;-0.5600000023841858;0.11999999731779099;-5.825234413146973;-35.22581100463867;166.02000427246094;0.0;0.0;30.906999588012695;-0.38999998569488525;-1.7799999713897705;-35.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.505001068115234;0.0;331.5199890136719;0.0;518411480;2368;50;28;0;0;0
1748649593;468768167;131.6699981689453;34.31999969482422;174.69000244140625;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.9965000152587891;0.25999999046325684;1.4199999570846558;-3.119999885559082;-5.825234889984131;-35.22581100463867;166.02000427246094;0.0;0.0;30.06100082397461;-0.44999998807907104;-1.9700000286102295;-35.970001220703125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.50699996948242;0.0;329.5899963378906;0.0;518411520;2368;50;28;0;0;0
1748649593;508897668;131.58999633789062;34.0099983215332;174.66000366210938;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;9.0;-2.0399999618530273;-4.940000057220459;-5.825235366821289;-35.22581100463867;166.02000427246094;0.0;0.0;28.613000869750977;-0.5099999904632568;-2.1600000858306885;-36.689998626708984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.50199890136719;0.0;183.36000061035156;0.0;518411560;2368;50;28;0;0;0
1748649593;549110542;131.44000244140625;33.84000015258789;174.58999633789062;0.0;0.0;0.0;0.01850000023841858;-0.029750000685453415;0.996749997138977;6.139999866485596;0.6600000262260437;-3.2200000286102295;-5.825235843658447;-35.22581100463867;166.02000427246094;0.0;0.0;27.136999130249023;-0.5699999928474426;-2.359999895095825;-37.40999984741211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.50400161743164;0.0;183.36000061035156;0.0;518411600;2368;50;28;0;0;0
1748649593;589230793;131.22999572753906;33.63999938964844;174.41000366210938;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;4.239999771118164;-1.3200000524520874;-6.579999923706055;-5.825236797332764;-35.22581100463867;166.02000427246094;0.009999999776482582;0.009999999776482582;25.625999450683594;-0.6299999952316284;-2.5399999618530273;-38.13999938964844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.50400161743164;0.009999999776482582;141.61000061035156;0.009999999776482582;518411640;2368;50;28;0;0;0
1748649593;628283321;131.0399932861328;33.400001525878906;174.35000610351562;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.9965000152587891;5.440000057220459;-1.3600000143051147;-5.21999979019165;-5.825237274169922;-35.22581100463867;166.02000427246094;0.0;0.009999999776482582;55.19900131225586;-0.6899999976158142;-2.7200000286102295;-0.5400000214576721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.507999420166016;0.009999999776482582;327.2799987792969;0.0;518411680;2368;50;28;0;0;0
1748649593;668408948;131.00999450683594;33.209999084472656;174.5399932861328;0.0;0.0;0.0;0.01875000074505806;-0.029750000685453415;0.996749997138977;5.179999828338623;6.599999904632568;2.9800000190734863;-5.82523775100708;-35.22581100463867;166.02000427246094;0.0;0.0;55.16699981689453;-0.6600000262260437;-2.890000104904175;-1.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.825234413146973;-35.22581481933594;52.500999450683594;0.0;7.079999923706055;0.0;518411720;2368;50;28;0;0;0
