Column1;Heading;Pitch;Roll;Rate_X;Rate_Y;Rate_Z;Acc_X;Acc_Y;Acc_Z;Magn_X;Magn_Y;Magn_Z;Reserved1;Reserved2;Temperature;Vinp;USW;(L/H);Latitude;Longitude;Altitude;V_East;V_North;V_Up;Heave;V_Heave;Hs_wave;H_wave;T_wave;T_wave_max;Wave_direct;Wave_energy;a1;b1;a2;b2;Sync_byte;Freq_index_1;Wave_PSD_1;Freq_index_2;Wave_PSD_2;Freq_index_3;Wave_PSD_3;Freq_index_4;Wave_PSD_4;Freq_index_5;Wave_PSD_5;Freq_index_6;Wave_PSD_6;Freq_index_7;Wave_PSD_7;Freq_index_8;Wave_PSD_8;Lat_GNSS;Long_GNSS;Height_GNSS;Hor_spd;Trk_gnd;Ver_spd;ms_gps;GPS_Week;GNSS_info_1;GNSS_info_2;#solnSVs;V_latency;anglesPosType;Heading_GNSS;Latency_ms_head;Latency_ms_pos;Latency_ms_vel;New_GPS
;359.99;-0.10;0.66;0.0600;-0.0200;0.0200;-0.012000;-0.002250;1.010500;0.0;0.0;0.0;0;0;29.9;24.06;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;10;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018200;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.10;0.66;0.0800;-0.0200;0.0600;-0.012750;-0.002500;1.011000;0.0;0.0;0.0;0;0;30.0;24.01;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;11;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018220;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.66;0.0600;0.0000;0.0200;-0.013000;-0.002000;1.010500;0.0;0.0;0.0;0;0;29.9;24.12;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;12;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018240;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.67;0.0200;-0.0200;0.0400;-0.012500;-0.002750;1.010500;0.0;0.0;0.0;0;0;30.2;23.97;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;13;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018260;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.67;0.0600;-0.0200;0.0200;-0.012250;-0.002750;1.011000;0.0;0.0;0.0;0;0;30.1;24.09;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;14;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018280;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.66;0.0600;-0.0400;0.0200;-0.011750;-0.002250;1.010500;0.0;0.0;0.0;0;0;30.0;24.06;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;15;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018300;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.67;0.0400;0.0600;0.0400;-0.012500;-0.001750;1.010500;0.0;0.0;0.0;0;0;30.0;23.97;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;16;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018320;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.67;0.0600;-0.0800;0.0200;-0.012500;-0.001750;1.010250;0.0;0.0;0.0;0;0;30.0;23.91;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;17;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018340;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.67;0.0400;0.0000;0.0400;-0.013250;-0.002000;1.010250;0.0;0.0;0.0;0;0;30.0;23.99;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;18;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018360;0;110;1;0;0;100;0.00;0;0;0;0
;359.98;-0.10;0.67;0.0400;-0.0200;0.0000;-0.012500;-0.001750;1.011500;0.0;0.0;0.0;0;0;30.1;24.04;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;19;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018380;0;110;1;0;0;100;0.00;0;0;0;0
